tweet_text,retweet_count,favorite_count,followers_count,original_tweet_screen_name,retweet_screen_name,original_tweet_created_at,retweet_created_at,retweet_id,original_tweet_id,original_tweet_coordinates,retweet_coordinates,original_tweet_user_id,retweet_user_id,search_string,is_retweet,timestamp,type,source,in_reply_to_status_id,in_reply_to_screen_name,in_reply_to_user_id,quoted_id,quoted_screen_name,quoted_user_id,quoted_created_at,quoted_coordinates,place_name,place_fullname,place_country,place_cc,place_bb,media_url,media_expanded_url,lang,id,virality,affectiveIndex,group,topic
"RT @cmiguate: ¿Vieron al militar retirado que hizo arengas para obstaculizar con violencia las elecciones de junio? Se trata del capitán (r) José Paredes Contreras, miembro activo de la Asociación de Veteranos Militares de Guatemala (Avemilgua) https://t.co/IyViKakjO3",213,171,11545,PalitoAlvarez,cmiguate,2019-05-23 15:15:42,2019-05-23 15:07:18,1.1315773494707446e+18,1131579465518211079,,,1940088104,579651036.0,,True,1558635342,retweet,Twitter for Android,,,,,,,,,,,,,,,,es,1131579465518211079,18.46435686444348,0,group,0
"RT @juanjose531958: Guatemala tendrá que esperar 4 años más para intentar cambiar y mejorar su rumbo y futuro.  A 24 días de las elecciones, NO se por quien votar, pero no dejare de votar.  Mi voto será en CONTRA del PEOR y NO a favor del MEJOR.  Creo no ser el único en esta lamentable situación.",165,850,4485,wjmartinv,juanjose531958,2019-05-23 15:11:22,2019-05-23 15:04:50,1.1315767278876549e+18,1131578374944624641,,,910705873206562821,414348575.0,,True,1558635082,retweet,Twitter Web Client,,,,,,,,,,,,,,,,es,1131578374944624641,36.978818283166106,0,group,0
"RT @cmiguate: ¿Vieron al militar retirado que hizo arengas para obstaculizar con violencia las elecciones de junio? Se trata del capitán (r) José Paredes Contreras, miembro activo de la Asociación de Veteranos Militares de Guatemala (Avemilgua) https://t.co/IyViKakjO3",213,171,11545,PeteLGM,cmiguate,2019-05-23 15:11:09,2019-05-23 15:07:18,1.1315773494707446e+18,1131578320074809344,,,362828277,579651036.0,,True,1558635069,retweet,Twitter for Android,,,,,,,,,,,,,,,,es,1131578320074809344,18.46435686444348,0,group,0
"RT @cmiguate: ¿Vieron al militar retirado que hizo arengas para obstaculizar con violencia las elecciones de junio? Se trata del capitán (r) José Paredes Contreras, miembro activo de la Asociación de Veteranos Militares de Guatemala (Avemilgua) https://t.co/IyViKakjO3",213,171,11545,HuehueNoticias1,cmiguate,2019-05-23 15:10:23,2019-05-23 15:07:18,1.1315773494707446e+18,1131578127086510080,,,927848521,579651036.0,,True,1558635023,retweet,Twitter for Android,,,,,,,,,,,,,,,,es,1131578127086510080,18.46435686444348,0,group,0
"RT @juanjose531958: Guatemala tendrá que esperar 4 años más para intentar cambiar y mejorar su rumbo y futuro.  A 24 días de las elecciones, NO se por quien votar, pero no dejare de votar.  Mi voto será en CONTRA del PEOR y NO a favor del MEJOR.  Creo no ser el único en esta lamentable situación.",165,850,4485,OswiinO,juanjose531958,2019-05-23 15:09:46,2019-05-23 15:04:50,1.1315767278876549e+18,1131577971750428672,,,112789088,414348575.0,,True,1558634986,retweet,Twitter for Android,,,,,,,,,,,,,,,,es,1131577971750428672,36.978818283166106,0,group,0
"RT @cmiguate: ¿Vieron al militar retirado que hizo arengas para obstaculizar con violencia las elecciones de junio? Se trata del capitán (r) José Paredes Contreras, miembro activo de la Asociación de Veteranos Militares de Guatemala (Avemilgua) https://t.co/IyViKakjO3",213,171,11545,hshetemul,cmiguate,2019-05-23 15:08:38,2019-05-23 15:07:18,1.1315773494707446e+18,1131577686101569541,,,633615711,579651036.0,,True,1558634918,retweet,Twitter Web App,,,,,,,,,,,,,,,,es,1131577686101569541,18.46435686444348,0,group,0
"RT @cmiguate: ¿Vieron al militar retirado que hizo arengas para obstaculizar con violencia las elecciones de junio? Se trata del capitán (r) José Paredes Contreras, miembro activo de la Asociación de Veteranos Militares de Guatemala (Avemilgua) https://t.co/IyViKakjO3",213,171,11545,VictorB24382043,cmiguate,2019-05-23 15:07:52,2019-05-23 15:07:18,1.1315773494707446e+18,1131577491393515522,,,2282645998,579651036.0,,True,1558634872,retweet,Twitter for Android,,,,,,,,,,,,,,,,es,1131577491393515522,18.46435686444348,0,group,0
"¿Vieron al militar retirado que hizo arengas para obstaculizar con violencia las elecciones de junio? Se trata del capitán (r) José Paredes Contreras, miembro activo de la Asociación de Veteranos Militares de Guatemala (Avemilgua) https://t.co/IyViKakjO3",213,171,11545,cmiguate,,2019-05-23 15:07:18,,,1131577349470744576,,,579651036,,,False,1558634838,Tweet,Twitter Web App,,,,,,,,,,,,,,http://pbs.twimg.com/media/D7QrltIX4AAd4FF.png,https://twitter.com/cmiguate/status/1131577349470744576/photo/1,es,1131577349470744576,18.46435686444348,0,group,0
"RT @juanjose531958: Guatemala tendrá que esperar 4 años más para intentar cambiar y mejorar su rumbo y futuro.  A 24 días de las elecciones, NO se por quien votar, pero no dejare de votar.  Mi voto será en CONTRA del PEOR y NO a favor del MEJOR.  Creo no ser el único en esta lamentable situación.",165,850,4485,Mikepad87,juanjose531958,2019-05-23 15:06:21,2019-05-23 15:04:50,1.1315767278876549e+18,1131577109112152064,,,155262430,414348575.0,,True,1558634781,retweet,Twitter for iPhone,,,,,,,,,,,,,,,,es,1131577109112152064,36.978818283166106,0,group,0
"Guatemala tendrá que esperar 4 años más para intentar cambiar y mejorar su rumbo y futuro.  A 24 días de las elecciones, NO se por quien votar, pero no dejare de votar.  Mi voto será en CONTRA del PEOR y NO a favor del MEJOR.  Creo no ser el único en esta lamentable situación.",165,850,4485,juanjose531958,,2019-05-23 15:04:50,,,1131576727887654912,,,414348575,,,False,1558634690,Tweet,Twitter for iPad,,,,,,,,,,,,,,,,es,1131576727887654912,36.978818283166106,0,group,0
"RT @Edmondmulet: ¡Buenos días tuiteros! Quedan 24 días para las elecciones y la oportunidad que tenemos de cambiar la historia de Guatemala y decir con orgullo: si, tenemos al presidente que nos merecemos! #VotaHumanista https://t.co/1JxI3o6gIe",18,107,4641,fco9168,Edmondmulet,2019-05-23 14:52:32,2019-05-23 12:48:19,1.1315423717395907e+18,1131573631648190464,,,393758676,223699900.0,,True,1558633952,retweet,Twitter for iPhone,,,,,,,,,,,,,,,,es,1131573631648190464,3.901529842706313,0,group,0
